#group,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
#datatype,string,long,double,double,double,double,long,double,double,double,double,double,long,double,double,double,double,long,double,double,double,double,long,double,double,double,double,long,double,double,long,double,string,string,dateTime:RFC3339
#default,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_field,_measurement,_time
,,1,0.584697,-0.429357,-1.244155,0.250905,1,0.385344,3.878715,1.613994,7.491138,0.308316,1,0.281431,19.499148,13.138732,34.351305,1,0.284713,0.117755,0.043318,0.251761,1,0.522249,3.20474,-7.889657,13.375821,1,0.387427,0.387427,0,1,readings,mem,2021-06-25T14:33:18.481938-04:00
,,1,0.539643,-0.52103,-1.239994,0.247505,1,0.476858,4.413216,1.623934,7.473173,0.352563,1,0.502668,23.759021,13.169143,34.268,1,0.386126,0.137725,0.04378,0.251041,1,0.567238,3.989379,-7.877019,13.338347,1,0.44856,0.44856,0,1,readings,mem,2021-06-25T14:33:28.568258-04:00
,,1,0.525755,-0.299969,-1.237414,0.244029,1,0.55681,4.870452,1.642396,7.439811,0.407164,0,0.19678,12.303177,13.213935,34.205997,1,0.517826,0.227072,0.04436,0.250598,1,0.695741,8.855185,-7.879759,13.325184,0,0.221755,0.221755,0,1,readings,mem,2021-06-25T14:33:38.655371-04:00
,,1,0.603069,-0.535813,-1.233725,0.242106,1,0.506217,4.580521,1.658288,7.426712,0.459802,1,0.269304,19.408639,13.174243,34.147147,1,0.573109,0.126217,0.044782,0.25059,1,0.615729,4.000519,-7.978074,13.406487,1,0.329036,0.329036,0,1,readings,mem,2021-06-25T14:33:48.741577-04:00
,,0,0.214972,-0.163487,-0.491937,0.095139,0,0.21661,1.912957,0.675121,2.960955,0.195838,0,0.041256,5.762576,5.195677,13.637541,0,0.118535,0.045207,0.018202,0.100011,0,0.204844,1.04819,-3.183562,5.343779,0,0.171717,0.171717,0,0.4,readings,mem,2021-06-25T14:33:58.828876-04:00
,,1,0.507767,-0.481921,-1.227584,0.235343,1,0.387395,3.905179,1.701169,7.385484,0.485857,1,0.163524,16.299128,12.832633,34.088428,1,0.31743,0.113803,0.045776,0.249502,1,0.511161,2.886574,-7.969935,13.33957,1,0.433562,0.433562,0,1,readings,mem,2021-06-25T14:34:08.914963-04:00
,,1,0.607408,-0.360134,-1.224065,0.232222,1,0.278818,3.295208,1.725991,7.354095,0.445036,1,0.156975,16.176291,12.68902,34.043723,1,0.253396,0.098664,0.046116,0.24873,1,0.512129,2.84459,-7.98521,13.31127,1,0.429348,0.429348,0,1,readings,mem,2021-06-25T14:34:19.002248-04:00
,,1,0.518095,-0.535408,-1.220274,0.2294,1,0.403805,3.989085,1.724698,7.337866,0.388651,1,0.14622,15.579881,12.504215,34.017359,1,0.218624,0.093041,0.04631,0.247871,1,0.494385,2.486178,-8.004759,13.284693,1,0.421711,0.421711,0,1,readings,mem,2021-06-25T14:34:29.088727-04:00
,,1,0.50293,-0.50453,-1.217666,0.225945,1,0.401903,3.967097,1.722298,7.307728,0.401504,1,0.279142,18.973946,12.42208,33.955579,1,0.271484,0.117968,0.046499,0.247032,1,0.532695,3.331169,-8.02314,13.25835,1,0.45151,0.45151,0,1,readings,mem,2021-06-25T14:34:39.176004-04:00
,,1,0.504908,-0.435251,-1.215217,0.222561,1,0.292133,3.354934,1.728822,7.292093,0.371934,1,0.247666,18.268606,12.369038,33.880562,1,0.259661,0.102403,0.046797,0.246272,1,0.524318,2.906893,-8.017943,13.22514,1,0.424405,0.424405,0,1,readings,mem,2021-06-25T14:34:49.262580-04:00
,,0,0.222539,-0.199245,-0.484333,0.087332,0,0.118979,1.353394,0.696375,2.905223,0.140729,0,0.06446,6.355578,4.899051,13.520762,0,0.109985,0.044065,0.018855,0.098107,0,0.207186,1.106295,-3.213257,5.275471,0,0.148506,0.148506,0,0.4,readings,mem,2021-06-25T14:34:59.349255-04:00
,,1,0.496321,-0.440302,-1.209047,0.216097,1,0.419461,4.048373,1.744877,7.245612,0.347846,1,0,0,12.188027,33.759036,1,0.340119,0.12279,0.047406,0.244834,1,0.562596,3.741903,-8.023244,13.165455,1,0,0,0,1,readings,mem,2021-06-25T14:35:09.436131-04:00
,,1,0.715382,-0.155971,-1.206607,0.215047,1,0.707492,5.615823,1.752192,7.213214,0.435834,1,0.433091,30.296806,12.149021,33.710532,1,0.333444,0.120675,0.047802,0.244234,1,0.687086,6.241213,-8.013969,13.161107,1,0.668036,0.668036,0,1,readings,mem,2021-06-25T14:35:19.522008-04:00
,,1,0.68596,-0.322049,-1.204159,0.216207,1,0.586468,4.958607,1.766249,7.211057,0.499196,1,0.232613,17.556892,12.105076,33.645194,1,0.297368,0.109085,0.048139,0.243572,1,0.588023,4.114994,-7.975979,13.130185,1,0.474087,0.474087,0,1,readings,mem,2021-06-25T14:35:29.609482-04:00
,,1,0.616517,-0.407162,-1.200548,0.214876,1,0.432285,4.133048,1.792355,7.20705,0.524167,1,0.317741,19.514826,12.068544,33.571394,1,0.276513,0.113343,0.048442,0.242887,1,0.577169,3.795057,-7.940462,13.092732,1,0.526838,0.526838,0,1,readings,mem,2021-06-25T14:35:39.695758-04:00
,,1,0.574095,-0.337135,-1.196879,0.212372,1,0.347558,3.678439,1.803441,7.193451,0.501984,1,0.232413,17.501734,12.034621,33.499761,1,0.276008,0.101262,0.048717,0.242192,1,0.563541,3.655004,-7.916822,13.057179,1,0.482542,0.482542,0,1,readings,mem,2021-06-25T14:35:49.783332-04:00
,,0,0.285165,-0.007683,-0.476929,0.083997,0,0.128648,1.417128,0.729612,2.867278,0.172795,0,0.185023,8.808899,4.793017,13.364851,0,0.124353,0.057381,0.019608,0.096509,0,0.256609,2.138783,-3.151366,5.204458,0,0.19974,0.19974,0,0.4,readings,mem,2021-06-25T14:35:59.869408-04:00
,,1,0.741581,-0.214624,-1.191541,0.212021,1,0.296015,3.398419,1.820049,7.156514,0.381727,1,0.335025,19.697611,11.996995,33.36021,1,0.285722,0.108468,0.049238,0.240837,1,0.557488,3.232515,-7.855509,12.98789,1,0.434526,0.434526,0,1,readings,mem,2021-06-25T14:36:09.955984-04:00
,,1,0.726924,-0.233368,-1.189575,0.213678,1,0.586327,4.933187,1.812658,7.134822,0.398758,1,0.48695,22.529285,12.011541,33.292023,1,0.296371,0.117444,0.049511,0.240182,1,0.583199,4.14544,-7.842855,12.956637,1,0.507305,0.507305,0,1,readings,mem,2021-06-25T14:36:20.045157-04:00
,,1,0.668618,-0.329827,-1.187094,0.21439,1,0.423315,4.068295,1.825415,7.123155,0.418439,1,0.356558,19.938569,12.04871,33.253797,1,0.322395,0.117973,0.049842,0.239598,1,0.584163,3.883323,-7.804755,12.921187,1,0.454697,0.454697,0,1,readings,mem,2021-06-25T14:36:30.131632-04:00
,,1,0.680797,-0.200268,-1.18379,0.213547,1,0.299061,3.419886,1.849105,7.101488,0.404121,1,0.293939,18.828746,12.031904,33.184455,1,0.484727,0.155864,0.050248,0.239193,1,0.539603,3.096525,-7.782466,12.887965,1,0.336859,0.336859,0,1,readings,mem,2021-06-25T14:36:40.218907-04:00
,,1,0.697629,-0.31634,-1.181231,0.214052,1,0.461917,4.273541,1.853247,7.090346,0.410259,1,0.285843,18.655993,12.011626,33.113762,1,0.561862,0.167852,0.050788,0.239134,1,0.534612,3.227117,-7.783176,12.860588,1,0.305017,0.305017,0,1,readings,mem,2021-06-25T14:36:50.312885-04:00
,,0,0.259797,-0.16245,-0.470828,0.085177,0,0.30473,2.331629,0.744376,2.827861,0.201771,0,0.097579,5.831615,4.803147,13.215923,0,0.257474,0.058939,0.020533,0.095751,0,0.229805,1.515755,-3.10247,5.127529,0,0.105942,0.105942,0,0.4,readings,mem,2021-06-25T14:37:00.399501-04:00
,,1,0.565381,-0.431748,-1.174744,0.211473,1,0.577406,4.870283,1.871426,7.066904,0.527079,1,0.40048,20.784533,12.018528,32.989362,1,0.511759,0.136669,0.051715,0.239425,1,0.562359,3.53895,-7.741745,12.796194,1,0.450469,0.450469,0,1,readings,mem,2021-06-25T14:37:10.486301-04:00
,,1,0.540407,-0.418377,-1.171952,0.208752,1,0.277075,3.323627,1.890899,7.061799,0.519996,1,0.458742,21.79596,12.066151,32.926289,1,0.532345,0.155497,0.052213,0.239295,1,0.578226,3.851542,-7.714421,12.763225,1,0.445684,0.445684,0,1,readings,mem,2021-06-25T14:37:20.573295-04:00
,,1,0.552607,-0.436641,-1.168949,0.206164,1,0.407444,3.991337,1.89405,7.05116,0.448225,0,0,0,12.095752,32.86223,1,0.420152,0.128485,0.052695,0.239124,1,0.616554,4.583986,-7.685217,12.730881,0,0,0,0,1,readings,mem,2021-06-25T14:37:30.659982-04:00
,,1,0.622682,-0.265023,-1.165901,0.203838,1,0.872038,6.374768,1.899901,7.031403,0.538415,0,0.459785,23.863493,12.103749,32.839247,1,0.32732,0.120336,0.053066,0.238687,1,0.594874,4.023377,-7.644798,12.699057,0,0.565275,0.565275,0,1,readings,mem,2021-06-25T14:37:40.747163-04:00
,,1,0.693778,-0.318029,-1.16319,0.203602,1,0.607603,5.026532,1.910556,7.038259,0.597332,1,0.332388,19.550163,12.121923,32.781869,1,0.308437,0.116654,0.053358,0.238146,1,0.592038,4.01447,-7.611899,12.666183,1,0.560591,0.560591,0,1,readings,mem,2021-06-25T14:37:50.833142-04:00
,,0,0.251746,-0.159657,-0.46369,0.080834,0,0.184265,1.715695,0.772138,2.820397,0.225283,0,0.167746,8.426938,4.852065,13.077589,0,0.126971,0.046044,0.021481,0.09497,0,0.250983,1.8917,-3.027038,5.04962,0,0.22629,0.22629,0,0.4,readings,mem,2021-06-25T14:38:00.919919-04:00
,,1,0.677583,-0.208015,-1.15714,0.201387,1,0.521847,4.60166,1.939843,7.040165,0.554953,1,0.395675,20.624699,12.154547,32.649906,1,0.24169,0.101507,0.053846,0.237018,1,0.610924,4.305988,-7.539148,12.601729,1,0.590037,0.590037,0,1,readings,mem,2021-06-25T14:38:11.006595-04:00
,,1,0.736531,-0.08506,-1.15503,0.202121,1,0.333882,3.647786,1.957484,7.020059,0.521128,1,0.347668,17.010614,12.171976,32.591331,1,0.327315,0.171431,0.054021,0.236425,1,0.692516,6.629374,-7.506668,12.578026,1,0.419944,0.419944,0,1,readings,mem,2021-06-25T14:38:21.093570-04:00
,,0,0,0,-1.155383,0.204973,0,0,0,1.957484,7.020059,0,0,0,0,12.194674,32.574541,0,0,0,0.054272,0.236354,0,0,0,-7.514332,12.600981,0,0,0,0,1,readings,mem,2021-06-25T14:38:31.186623-04:00
