#group,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
#datatype,string,long,double,double,double,double,long,double,double,double,double,double,long,double,double,double,double,long,double,double,double,double,long,double,double,double,double,long,double,double,long,double,string,string,dateTime:RFC3339
#default,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_field,_measurement,_time
,,1,0.798325,-0.113812,-1.488281,0.262905,1,0.179858,4.110929,2.943119,9.436878,0.204751,1,0.807089,27.662467,9.842243,31.868549,1,0.321822,0.110163,-0.001721,0.334304,1,0.522241,4.705017,-7.473726,15.869004,1,0.478703,0.478703,0,1,readings,mem,2021-06-25T14:24:23.902554-04:00
,,1,0.763414,-0.206584,-1.491083,0.280629,1,0.086629,3.40106,2.83486,9.370786,0.16288,1,0.791236,27.478505,10.005054,32.660912,1,0.312205,0.105279,0.000098,0.33105,1,0.511959,4.17912,-7.47616,15.792164,1,0.452122,0.452122,0,1,readings,mem,2021-06-25T14:24:34.003290-04:00
,,1,0.758749,-0.158098,-1.488704,0.291722,1,0.040994,3.006599,2.732027,9.354643,0.111304,1,0.627058,23.983738,10.375122,32.819732,1,0.283109,0.103631,0.001654,0.327752,1,0.510716,4.376003,-7.53012,15.731505,1,0.37639,0.37639,0,1,readings,mem,2021-06-25T14:24:44.090048-04:00
,,0,0.313493,-0.074246,-0.595364,0.123746,0,0.01312,1.105421,1.01642,3.729865,0.036938,0,0.213527,8.919063,4.343859,13.021833,0,0.100456,0.038366,0.001266,0.129334,0,0.193794,1.497336,-3.047962,6.264671,0,0.138417,0.138417,0,0.4,readings,mem,2021-06-25T14:24:54.139609-04:00
,,1,0.776334,-0.15404,-1.488278,0.318847,1,0.048805,2.767895,2.42615,9.312994,0.075942,1,0.672613,25.077495,11.085594,32.452506,1,0.260267,0.114266,0.003862,0.321005,1,0.527274,4.680925,-7.651867,15.619858,1,0.383547,0.383547,0,1,readings,mem,2021-06-25T14:25:04.249545-04:00
,,1,0.74863,-0.190077,-1.486955,0.33065,1,0.333928,4.576493,2.212764,9.291322,0.094234,0,0,0,11.330466,32.617282,1,0.294096,0.109415,0.005134,0.318025,1,0.517562,4.145916,-7.647722,15.546698,0,0,0,0,1,readings,mem,2021-06-25T14:25:14.342318-04:00
,,1,0.751403,-0.174042,-1.483428,0.339353,1,0.305766,4.366072,2.207895,9.248887,0.189777,1,1.188049,42.713187,11.540378,32.712911,1,0.342673,0.119754,0.006565,0.315377,1,0.548483,4.944292,-7.648298,15.476434,1,0.687029,0.687029,0,1,readings,mem,2021-06-25T14:25:24.430339-04:00
,,1,0.712473,-0.241642,-1.478253,0.34537,1,0.180154,3.454748,2.198854,9.170079,0.200576,1,0.621999,22.171924,11.755546,33.002002,1,0.328549,0.125088,0.008094,0.312984,1,0.553819,4.86917,-7.611261,15.397496,1,0.373993,0.373993,0,1,readings,mem,2021-06-25T14:25:34.517703-04:00
,,1,0.739239,-0.181133,-1.472225,0.349828,1,0.205683,3.591165,2.155909,9.135139,0.222563,1,0.723287,26.809724,11.987322,33.08333,1,0.353367,0.126242,0.009636,0.310772,1,0.528682,4.378245,-7.589316,15.323857,1,0.447402,0.447402,0,1,readings,mem,2021-06-25T14:25:44.604331-04:00
,,0,0.267481,-0.05039,-0.585459,0.141528,0,0.069454,1.31623,0.830461,3.6281,0.083138,0,0.354378,12.831102,4.795288,13.596972,0,0.155582,0.052144,0.004691,0.123307,0,0.21985,1.892717,-3.028701,6.093238,0,0.193194,0.193194,0,0.4,readings,mem,2021-06-25T14:25:54.690630-04:00
